Case,Intensity_CoefficientOfVariation,Intensity_Maximum,Intensity_QuartileCoefficientOfVariation,Intensity_Range,Intensity_Skewness,Histogram_CoefficientOfVariation,Histogram_Entropy,Histogram_Mean,Histogram_MedianAbsoluteDeviation,Histogram_NinetiethPercentile,Histogram_RobustMeanAbsoluteDeviation1090,Histogram_RootMeanSquare,Histogram_Skewness,Histogram_StandardDeviation,Histogram_Uniformity,Histogram_Variance,Morphologic_Eccentricity,Morphologic_Elongation,Morphologic_Flatness,Morphologic_LargestComponentSize,Morphologic_NumberOfPixels,Morphologic_Perimeter,Morphologic_PhysicalSize,Morphologic_Roundness,GLCM_ClusterShade,GLCM_Contrast,GLCM_Energy,GLCM_Entropy,GLCM_Homogeneity,GLRLM_HighGreyLevelRunEmphasis_Offset_0,GLRLM_LowGreyLevelRunEmphasis_Offset_0,GLRLM_ShortRunHighGreyLevelEmphasis_Offset_0,GLRLM_ShortRunLowGreyLevelEmphasis_Offset_0,GLSZM_GreyLevelMean,GLSZM_GreyLevelNonUniformity,GLSZM_GreyLevelNonUniformityNormalized,GLSZM_GreyLevelVariance,GLSZM_HighGreyLevelEmphasis,GLSZM_LowGreyLevelEmphasis,GLSZM_SmallZoneEmphasis,GLSZM_SmallZoneHighGreyLevelEmphasis,GLSZM_SmallZoneLowGreyLevelEmphasis,GLSZM_ZonePercentage,GLSZM_ZoneSizeEntropy,GLSZM_ZoneSizeMean,GLSZM_ZoneSizeNonUniformity,GLSZM_ZoneSizeNoneUniformityNormalized,NGTDM_Complexity,NGTDM_Contrast
diffmask012,0.29664358396745943,0.3527731022024935,0.8448048302642732,0.3317359969113421,-0.2052142499291913,-0.5620146858797812,0.5045543170391048,-0.2165090928391753,-0.7762488562034501,-0.30636860092248114,0.2680147538467789,-0.07066268842004352,-0.4225010019085572,0.5534993300072047,-0.6241343471842141,0.4728770137870848,0.4655008269108038,0.24248369710848972,-0.16827893181684933,-1.0324851085940119,-1.0324851085940119,-0.8767146301174312,-0.757922768595113,1.5419788599151536,1.1051073468906707,1.246503931171066,-0.725994617943197,0.6469489051959131,-0.8599538448999767,-0.31178162456496716,-0.3182918989461968,-0.3047765155603285,-0.30351012633451163,0.23826346990080285,-1.1176142325366898,-0.44518462063188485,0.031234326906119884,0.11816028944307289,-0.03486125450913895,-1.5662894129129596,0.027892920986930712,-0.10905398923659285,0.8504632237597916,0.8508482964275651,-0.8578451946534922,-1.0684070783173922,-1.559707692840762,1.3219642727947885,0.3783186774649461
diffmask013,-0.2343284556681685,-0.44185766803740295,0.07163965962943741,-0.4228687255900779,-0.18710488253603602,-0.05894488434555623,0.6222173244240123,1.0049992096146514,-1.5236676213259006,0.4817240023838039,0.4725105994214888,0.9177000577387557,0.11593164360431052,0.4955242878954292,-0.5542798449921643,0.4223853796620164,0.27718067201561924,-0.6854841989438247,1.244738895694879,-1.098320132852631,-1.098320132852631,-0.7386789191279803,-0.8295043920284368,-0.08323925801052737,-0.3111966990608734,1.4123651844558356,-0.5815756736433619,0.8101641790907983,-1.3474844179303078,0.9224841072030104,-0.4887496443994782,0.9310886232017124,-0.49109307983597694,0.870354566741409,-1.1240215390735249,-0.7515869145954764,0.5806707612820116,0.8280502580048013,-0.4083820686776254,-0.9049993718246502,0.8608929232490709,-0.3794176989170944,1.5368545126599904,0.905597495097835,-0.7133951481434774,-0.8706768819821085,-0.9382644320663186,1.9516929814886488,1.000646219994201
diffmask014,-0.685173340409045,-0.0019555787039252977,-0.5302216953814711,-0.06867477576418378,-0.36851423621242363,-0.42686927645710815,0.620143889792356,0.3291164514518889,0.5881051583716471,0.6596600449415134,0.6601102255293899,0.35356889293263627,-0.2368777845792114,0.5053446859856133,-0.5397067256470477,0.42542477983985644,0.4079421829175792,0.47124874918595266,-0.38894236046609926,-0.03316773685070321,-0.03316773685070321,1.0876268273588914,0.9517257285146041,-1.3773828102577665,-0.37960793238729285,1.2881020765947904,-0.6335225365322789,0.7211501474157727,-1.2698104529073941,0.13976921168867595,-0.44686473682008016,0.1496074978740566,-0.44836807649027316,0.8736831266986043,-0.5592493515398254,-0.60082226925824,0.2854961182707664,0.7809648929457232,-0.17760533144630566,-0.7727789194324781,0.8294154348422809,-0.1972726988827688,1.3616625364983506,0.6320593303096977,-0.9323654100031658,-0.25162572950894396,-0.818090419744883,2.01818005803216,0.7744225857118427
diffmask015,1.4387249804747329,2.1923795237057484,0.36258715523448876,2.2297771238814112,3.3186421762643006,3.9277327298445575,-2.374933675426662,-1.5188397664262028,-0.5737780450820618,-1.8032830238881785,-2.245125765773883,-1.6883692849342962,3.68097942774162,-2.012203781950008,2.633955962616838,-1.5412850296952907,0.24985892505763937,0.5898869854455472,-0.8308881631543952,1.6842243588730708,1.6842243588730708,2.707301647677503,3.132551776299559,-1.3383266362818478,-0.7401091876084543,-1.7628611681207542,2.7221187775554103,-2.3294832353585524,2.164434851350682,-1.2974672821213986,2.1674841473882265,-1.2954199602585619,2.14102482323642,-1.212288232764674,-0.09658404138731932,2.0056413914898554,-0.15056169414492887,-0.9756091849202914,0.3773252460850476,-0.983617376411771,-1.0374148292073908,0.2321759216660537,-1.9607838525674728,-0.6410369560967487,4.334392183917904,-0.6958264909771961,-1.0427328877013207,-1.969091342886919,-1.2590884089665009
diffmask016,0.67320724763384,0.2841967437333042,0.601529551415289,0.30972823786111975,0.45975948982103293,-0.17184749391484064,-0.11728540546696974,-0.37960523722972644,-1.4385132251221595,-0.16852083743863705,0.062107901065233215,-0.30657495026371573,0.16938346348315006,0.021764914510735596,-0.08798515408718385,-0.14703344704374763,-0.3718852496824722,-0.6833367688208747,0.5415026649611305,0.4307477864140546,0.4307477864140546,-0.5522384233929997,-0.5282321050264513,0.556344181767241,0.3719653317197514,-0.10844805910221861,-0.19465692249604968,-0.12447658986986633,0.40196190933765885,-0.43779972990664395,-0.2250915426958788,-0.4447911551616292,-0.21360829568596068,-0.8372653976061271,1.7640697550202866,0.11554704837007315,0.15471850457878933,-0.6695253440172876,1.7169675693260584,1.4829744810282832,-0.6904446261106281,1.9076843229724496,0.2654278516704427,-0.7374499278992876,-0.4463531797401334,1.9898239053499722,1.4931962144181852,-0.4182168313092145,-0.5482722926234805
diffmask018,-0.31779519141919926,-0.2951354018089732,-0.5825709621910666,-0.3325741684023856,-0.22072876318221105,-0.3151350774496837,0.6148455774974849,0.2396991004028065,0.042449801136582796,0.6683077020209307,0.2867624391947781,0.3207002977158084,-0.24393977138762735,0.6212478831530371,-0.5436811431146935,0.5354559875027359,0.37913933894989393,-0.31107189825327647,0.6356290475417383,0.455939803816422,0.455939803816422,-0.5364511024056152,-0.4875830613717496,0.6292618752793357,1.0422925051370582,-0.22262800914311576,-0.5169607520203608,0.5416748304004388,-0.21483370311644018,0.18148963819905836,-0.4508637936250249,0.17749124109303357,-0.472388776020559,-0.4338607824232817,1.0417341102254905,-0.2655457693993115,0.10468334442418747,-0.4105121882075531,0.7006460521155535,1.099124406418915,-0.4475583252575449,0.8032821641751425,-0.07770396755887614,-0.2572378627351922,-0.2734779859175229,1.5660323613041698,1.0992825248388096,-0.14740726719891367,0.0006205074018297473
diffmask019,-0.6477696134040536,-0.2965933947521257,-0.4800950611665748,-0.2722779823207779,-0.9306310815406523,-0.7084105847641364,0.4930378186805398,0.895121009743354,-2.020717244041497,0.7894565854176193,0.5355520677870538,0.6836532909857221,-0.7026445872203225,-0.04191415127385243,-0.594310169829512,-0.20984193476603843,-0.31675740092465954,-0.9937626848409743,1.1630753131075666,0.3345719260162625,0.3345719260162625,-0.5034053797509674,-0.6058610709873502,-0.04759195721231462,-0.5621289704064114,-0.4894352838413784,-0.5652289541072755,0.4064420461309244,0.009882855228818039,0.6169109907615117,-0.5029526977641063,0.5999402945306094,-0.5338881599480876,-0.10621780030175677,0.9977384249967436,-0.18162039973435085,-0.6272879415250298,-0.35049970107832834,-1.0493512732543822,1.458523825354714,-0.24855086114683322,-0.9352895582347966,0.10187407970905753,-0.6733092838503033,-0.43577752196660735,1.5402643580587259,1.5174690083015097,-0.4158459483976816,-0.4675295823572677
diffmask020,-0.7814349113954291,2.4670662212438192,-0.3823405975507104,2.44361846194141,-0.04679453949705378,-0.30437672630451756,-0.95082511130476,-1.0695504538601335,0.917505539596546,-1.3257392285058565,-0.18688767803002723,-1.2326173972816397,-0.7322769355958186,-1.3160370427955155,0.3724613469362902,-1.274201917229778,-2.000173426888945,0.35795375611595665,-2.318173793681108,0.04604641073673052,0.04604641073673052,1.1993519884302433,1.07059076048435,-1.4233318972424482,-1.0714055764919803,-0.7564647606780733,-0.005677821104398722,-0.7369025441941977,0.35740039768734105,-1.1215834250077026,-0.17079721869679282,-1.1227300945119152,-0.13798803250799727,-1.3968348082063842,-0.1285986139194851,1.6189617424055287,-1.2315175748321636,-1.3521658314066782,2.449041495304211,0.7720337815799794,-1.3626240839897543,2.443697862247167,-0.68247416818054,-1.7594530159670105,0.2884128075647918,-1.1044812401585895,0.8476759619359564,-1.179999096883938,-1.0491382433958476
diffmask021,-0.39441486688775906,1.9701838637485876,-0.5123764865133632,2.009580414805732,-0.3703340858113173,-0.2483472684644331,0.11004390682433063,0.8295906838365216,-1.9637803056058518,0.484125577517519,0.2321937611387472,0.6020352333519964,-0.11804756168402973,-0.28561154835030567,-0.2535261296235029,-0.45241420310548963,-0.23557177857253783,-0.47081115651074346,0.13840978693815426,-1.1919173574365576,-1.1919173574365576,-1.058652388718884,-1.00729349178244,1.2156951423907547,-0.8324094508205873,0.47374800922612537,-0.38941427832971676,0.2802415953110935,-0.5812338386670094,0.5921592271462225,-0.3255481724236656,0.5856239260127734,-0.2968614563541873,0.3594363797182043,-1.0912924497528027,-0.44610116697105656,-0.2520347604424813,0.1413261031299532,6.488300397483441e-05,0.7253014919946178,0.2744577696740473,0.09105192978883068,1.6171242396998957,-0.06166704631662568,-0.804174837936104,-0.9272168620702199,0.7089107812536733,-0.3755175915032327,0.00010396997692595424
diffmask022,-0.1970240062569766,0.051269781332094436,-0.10423629681064726,0.030641095892846717,-0.1745873076554402,-0.21450276321267303,0.0033755746299043024,-0.42703330445532894,-1.5515460264789604,-0.16834893892074895,0.2656695624653096,-0.4421785236591715,-0.26285317232912137,-0.27609657495078366,-0.24602441370824674,-0.44125889013692987,0.47203871363185695,0.03312208733336829,0.16556154033987808,0.07892413764389232,0.07892413764389232,-0.811915162830863,-0.8582547115149634,0.4548367127200285,-0.40144363667595595,-0.520977316861617,-0.3178631573329674,-0.0073389246740812545,0.22037257306384492,-0.5291245776889596,-0.25837596166183746,-0.5322716507556979,-0.2546009213224253,-0.5799151062126916,0.5443155671415089,-0.004597838725963827,-0.5509446413268702,-0.6900986305588079,0.1836999433240649,1.3649795253511654,-0.621788212421669,0.26940439731267557,-0.22668698587154354,-0.6723373151028155,-0.1868017998757038,0.7103233802105995,1.363791535552248,-0.11821505120882661,-0.6992507345516417
